ad_id,breed,audience,country_group,clicks,impressions,users,costs
SFz8962b5gF9Z9WrglXpkSkLcZ0gVWsPGR0raDDGmPU=,breed_2,Male,Other,6181,108446,254,7381.01
XBY7gLyoZYUHnwrcb7CQXsXaQrL1VAaXxAR0C9ABqC0=,breed_1,Male,Tier1,1035,128367,151,5686.12
/krLoIPXKGCFXxCp6ENaU/3enKHu7toWnaK/PwylhvM=,breed_2,Male,Tier1,440417,69284146,2448,73456.71
OzzzUfAzWDs1OE6nCWYWaKxhMTB8TONA1jebmpvIvrI=,breed_1,Male,Other,38875,2902476,78,1137.61
vCYMDAhCERWSKiDte8Cq2DB7rlYb6NTKGUS662RiT30=,breed_2,Male,Tier1,108755,3174165,651,10204.15
/nVfahApLp25VuMhnf4gUM1d0DyEHtOQ0RZyI+eRjPA=,breed_2,Male,Other,99,4065,28,387.73
mlnq0OWWov3uIq2URNx8mYxWimBeVekDQLSTDRFtdBs=,Mix,Male,Tier1,2059,36194,48,1517.48
w+XIJZYOqs2digp4FTN+pD1ow/4kmFkHwKftPYLQwtA=,breed_3,Male,Tier1,3295,285214,44,1116.61
xHSafl7vKSiQugwPu3tk27vpmlLGOARJUQi3262x4aI=,breed_3,Male,Tier1,127306,1633739,95,627.75
3Pn66bZkS70haPOP1l4kvQU72ksu5RB/9rSryH/20nE=,breed_1,Male,Tier1,2957,142666,144,4664.04
FBt0r4tpy5osAIU3pjEiCKjpSQ3mUNDNBHvpfEx1SoY=,breed_1,Male,Tier1,928854,89727831,1982,38192.39
J4ZFkU+KCwzKX4FmbpLEa1d7XbMn1e4lUY3hR39yeRY=,breed_2,Male,Other,24937,652706,33,273.99
fwTtJ6M67CDC1KYIiqBsO4L7eRyz3lVzgeSkkiSZ6ko=,breed_3,Male,Tier1,5330,141382,14,319.98
GvTZAswu5bVUmG6tqB3gbWGomDNpwjEBJvsURqhNgp0=,breed_1,Male,Tier1,777,36630,19,499.71
SnCSUvAatbOb9t4rg0negiF97TOjbj6JaftBJ77BS0s=,breed_2,Male,Other,99,3235,30,317.82
dz2BqB2R1Yd4glM+xaYEjTZqala76GyzMX8D4tCsT3Q=,breed_1,Female,Tier1,1242,55645,39,1709.88
Gu5V4QPsnO9thoml7bW61UycJc8MIFNPEKW/5d712gk=,breed_1,Female,Tier1,465528,20352471,1272,25641.53
W4GWhjaR19n44fYaVDmmWFW/PAdlMuUqe/stULqHvmE=,breed_3,Male,Tier1,1301752,125282558,3146,88500.81
8iwLaPAF7uxA8BoJrlAhFMAh25s1+wjifm2JXX6eIG8=,breed_1,Male,Other,9352,485997,71,951.58
D2tMoA3Tmw0XXoSMiTq14CvrKgEcfjDsvwHiu89rd2Y=,Mix,Both,Tier1,4084,128051,234,4103.44
X4FuRSM4mvBNmZYr0THdO6vyFTZea7UcybS8j6Rqbg8=,breed_1,Male,Other,208,16648,11,339.0
eaWzIzTpbw9EFbmLRM8ERomfBadpD5+Jrq42hJnfbxE=,breed_1,Male,Other,2977,104835,11,85.25
+xgpiihgFKv6Llvsmjo44zZ704vPRtGwa/R16GDbSKo=,breed_1,Female,Other,33,1679,13,257.57
RrRwMZWhwXmteGv48nwicZoK3sZncfFcKueC21B5TLM=,breed_1,Female,Tier1,44245,2277729,533,13584.32
7EtSj1zoCQthWDz/9XBzK7RhJJvNmJ1X+tjCDrOpvQs=,breed_1,Male,Other,7252,275703,59,1720.4
IkrzdfBUwcLh9FnuRWRBns1A2yVlqZOJIULjlKLmDwE=,breed_3,Male,Tier1,42,1127,21,2884.48
SnCSUvAatbOb9t4rg0negiF97TOjbj6JaftBJ77BS0s=,breed_2,Male,Tier1,414,5811,25,367.27
uNAGNWfeyuaqEE9V1ICCqL3vjk2w9DsPJ9plVF1zanQ=,breed_3,Male,Other,2232,107594,58,1385.89
nMGoD/kmG2eQLt9e4eO8S5HQYdezVREkLswtTCdolr4=,breed_2,Male,Tier1,9416,290088,29,466.83
sV0MsYmauc3MKUTzPLjcWqUQRcHw0ripxlps96GqTAw=,breed_2,Male,Other,3265,132003,144,1992.04
v4dBKsTRsVpwH2acz4B5bcmoHxAot11y85q0u57wfL4=,breed_3,Male,Tier1,396,19037,18,257.45
nntX+QBQQuXuZ/uWHcXK1zvR+Tw1pk9C8ynmPFD26O0=,breed_3,Male,Tier1,10895,287634,23,432.58
0Ellk8g6i18jQuWxnWGACFJLPgeAqZoz6R3LDk30awY=,breed_3,Male,Tier1,1259,34445,12,388.99
SXC8ddRBJUm7ArYzNnvnoh71UFSdfcSFQ6Xua87yMCs=,breed_1,Male,Tier1,22,559,10,316.98
9HiBUtdgbbqPJ85UOZ8Z6RNDcrHRxINshr4wmIlsn5s=,breed_2,Female,Tier1,13020,531176,137,12148.29
TqD1GQz0zpRp5bgmSlCGzWwFba9I46q8zgydcj3VBag=,breed_1,Male,Tier1,54163,975661,606,3360.55
mkRFSbmfO6fCQ9rdxouZjd7L17Kf1FGY8zzbvXanYqo=,breed_2,Male,Other,315,7385,49,550.01
gZT8Zpf+Hj3r18CD/8z3JtSt5gjYVtZyAw3Zzhg6Ivs=,Mix,Both,Tier1,33065,4399580,480,9697.8
v3RVE44ZJbThXBtWnRzsTClA3Tyl9Kqq2prHzKbfL94=,breed_1,Male,Other,5353352,573841685,3818,11905.1
OzJeNA75KLt/MNSpuDKDVeYT97IV0ieVC+GtqJMjnlA=,breed_1,Male,Tier1,116714,1330270,360,13150.31
X2FwRsesnCuDXwt2HmM1teDRngIABk5Q7OT7gw90VQk=,breed_2,Male,Tier1,243,9126,38,5615.07
O3PmztMX962Hy/7NlS7K2NLhIpFU84DzwnujcAgl+Vg=,breed_1,Male,Tier1,819,117328,12,407.13
aJN8YUFk8eXMbWGNoAzKLMA6/yTce8Y1FDbzAtpFcNc=,breed_2,Male,Other,6620,240392,14,144.21
cj9brA5HFwrQhzmhOAWvqUKyRBl6sjwk9yFHIlTdtk8=,breed_1,Male,Tier1,665610,182260788,2311,52919.6
c8fl4OVRwF99vlAc+kYVUywzeAhFVv4hnLI8O9C0nIA=,breed_1,Female,Tier1,19005,1967042,319,16789.57
pt3eSPptF2gN4iiw8fpr060gO+yNB9lgKnzpTrsJFQQ=,breed_1,Male,Tier1,487,41875,42,796.26
ce/PZek+fW/KrfTcst6aVJ6Eztpb7Yl9Qlono++O+iE=,breed_3,Male,Tier1,272,8887,22,469.39
f0RezV1+TCV+ZFApsuOZH5/Tdv9LGPxXdt0GspoRnbI=,breed_3,Male,Tier1,784,29441,12,165.82
ySEW+viIcKKEIAh4ll+JihXEqxdpivK0lI+V6q41pb0=,breed_2,Male,Tier1,15192,341330,48,608.73
HsxM07q/hS4YjJbpSmgMgT6HjgXuGwjS0eEQJVpkJKE=,breed_1,Male,Other,542,5347,23,243.78
BLXjmcyofk00GiXRoW4JtFZBHIShelyttpkkNEk6ngk=,breed_1,Male,Tier1,1095,8087,17,592.89
nA/GFgF/9N6GCnj9T8gqhEmjVUS82Gb/s0zzV0+E0iY=,breed_1,Female,Tier1,361,51895,10,160.93
ONZN9RiinT0jcFPlLtXbyi6Wh3jt8eLaAfpIiqjCqSc=,breed_3,Male,Tier1,10523,201076,18,673.37
MNUuL/Kov9mVQIEOPWF/G9vc5eTh2i8cEyHGFlb0L1o=,breed_3,Male,Other,883504,36073614,545,1046.46
e5HOmlV+TcPoa38XRemgbXLiFAc1gAWDRhIkLkcoRZY=,breed_2,Male,Other,242,4995,39,372.28
6pU4K/FRcVHVbrYKuwMb3/LW6qRvovaQmTdje12lheY=,breed_2,Male,Tier1,2228,28789,36,1160.05
lyg84g5S0ZEz++HLdMu8Yi3j3r3DwnuWT8xerO6AYpw=,breed_1,Male,Tier1,3908,250164,34,281.69
JA5prK/TyKwv5vseueFUk+XAnClkuFpezZxyi5XzeMo=,breed_3,Female,Tier1,939,44023,151,3935.63
WNwX8g7XO9N0BMMtFL/qUoJ1/PDoWHgrpwhvGaw+tiU=,breed_1,Male,Tier1,3658,463588,25,788.9
aYTuM6aVuUQRKQitTGpk6PNmrW1lHjG6Lr2omC4B9JQ=,breed_2,Male,Tier1,1482,44591,112,1693.64
VzMt3Uej0iMU+6npA1y7pppbuV32QekiWZNxzWmr4Lc=,breed_1,Male,Tier1,445,9866,26,4787.71
zU+LtsvcopKen0JurLfqUE4kdvuS6ZvFAc8y3vI4DqU=,breed_3,Male,Tier1,13913,929452,165,2758.11
XApDdVWZnRdusMsN/BX5uAwMbf2l4F4+wGmSWr3pkIs=,breed_2,Male,Tier1,251,11798,17,426.65
Q81SydfoOHP5lBd1M5K+kp1X8idcel8h2Gqqm2ExOKo=,breed_1,Male,Tier1,240,12617,16,414.99
yDSp/MrpbajmOkGdiiuOzjpTtQMNFLPQeP4QtN/M1n4=,breed_1,Male,Other,137,2801,34,659.74
rY1Oo3BKgN8zUFP/yPhc1H4fF/+MMPl/MjwXVsb5gKE=,breed_1,Male,Tier1,355,10709,16,378.93
lbW+JmECy/mdKoOrZBOnSGQsnZxWSjYkx9Dt3jjyE60=,breed_1,Male,Tier1,804,28606,29,408.99
oChPV9R5l7iu14UGNhA+L0mgQINp2VQ5z0wyBd6hSwQ=,breed_2,Male,Tier1,108,2346,13,686.31
Yf0IEMWBx25wb3IllZZuhHVVhpiMPwznrYS+pDnFGp0=,breed_3,Male,Tier1,15,370,14,395.22
brunhKOJYiLcBuyfElmi+FizvjQ0VBnxIy4oKc7lZPg=,breed_1,Male,Tier1,346427,42357544,2060,41501.92
h37UTqqmyAXkKopBF+ukTZ8RntQosdri2Mpu06BZ9sY=,breed_3,Male,Tier1,1521,137804,18,576.71
8TvFt7ablzs78DwRoGDCNYJm7Q1P3qzzAG+kLg5SOwg=,breed_1,Male,Tier1,1131,58991,10,156.75
TGtrxxIc1mU+9Q4SgYB0x9QVekDKGoBaL5YZQFUDzx0=,breed_3,Male,Tier1,302,11075,23,304.54
X6qw0ddl7zietdxXmkyali1GpCXo6Hva/dQf7dBoEPk=,breed_3,Female,Tier1,1660,75065,15,511.28
xgYmofJpDlwKbCNV9kAZNv4IA8e9S29Jk0qLsbghVcg=,breed_1,Male,Tier1,50495,829127,151,2062.28
tT1KFgy6S9lsvkf8OHbweaiu/NnfuTsjNHNGb9Bt/1Q=,breed_1,Male,Tier1,62729,5638081,507,17168.21
k+T0iVXIXuDXeWfzoxKrO6YNNvSIQ6QHLcuKcrIg02M=,breed_1,Female,Tier1,859,45665,84,793.84
MC0uQfsqVTNSJp5ZTk+1Q7ZajunLh3Nz2ojO/YED2+I=,breed_1,Female,Other,400,16803,14,122.87
Z00wzP62k3kL9zTE7Hc2tKIMw1TLIzcVyCsOuIHrABo=,breed_3,Female,Tier1,7405,375824,29,432.52
wU5pu6zJna3o8LRTgqJhMlrm70iTNg1L5HLMAehL34s=,breed_1,Male,Tier1,21254,1914667,223,4780.26
r28e2eU2tcy8EIUKeG+tZnpq3Ei7KnKBMzcz036aHlA=,breed_2,Male,Other,307611,6021808,319,573.55
lqEi1iCdB8dVPodL4MGSWHuszuMKo06n0aYEEhI1CxA=,breed_2,Male,Tier1,18790,421965,26,47.79
2tY+ZnOb+fhEE3riiDB7WUqgmYwDK1AQsbGmysAqIg8=,breed_1,Male,Tier1,97301,2150919,1157,8857.01
/GZSmr/m+RckhkCs7QIzSR0DBVmCmajdKx7Hamv4sMU=,breed_2,Male,Tier1,37018,452346,25,369.93
sUwgeAqEQtAL7FWiEd+5DpKq8HglPrR3taRywDhuQCk=,breed_2,Male,Tier1,125,3950,20,1445.89
HlfHDXDMj7L3k1prSZx0KdNYBwWip46/r0kdzcViSJA=,breed_3,Male,Other,27667,1152228,589,12547.25
+4wcnTDZYf1VmvuIrkRN6cXCelXfoXZsvQn5aOYSjPQ=,breed_3,Male,Tier1,7613,104863,21,390.5
gt/fALtrB2SAP3JYl4iQ9O1AsXLhj765VrjpSC5qcdM=,breed_3,Male,Tier1,422,40487,10,203.02
Hb1YdUdTmaxhH2fHHBCVHQ5DbQNW48cJtjVUx1LRIMw=,breed_2,Male,Tier1,305,20099,71,1427.6
7hyoDdsrVSwoEsTrdf2JPHyADtKWePgp+PzzxAqc8VI=,breed_1,Male,Tier1,175,5552,23,412.92
0x2sEW+VHBKTRglon03ukH6fc4CHQZNeWTEC117yG2c=,breed_1,Male,Tier1,363,9738,56,737.8
FBt0r4tpy5osAIU3pjEiCKjpSQ3mUNDNBHvpfEx1SoY=,breed_1,Male,Other,32166840,2994684179,7528,23008.42
DDtVA5nkwOKoQElik+5pIU2cR3fsU/7cUGfo3Ogd/MQ=,breed_3,Male,Tier1,39,975,14,86.16
jmkXorRa9C0FDIpF+M3Cl7cQKWtK6jrkVNDq+HYpLzA=,breed_3,Male,Other,2842,114018,137,1140.14
3j5oGGWu7tQW+pPTfb97RMwFwQR0Gz2hsuwxef7vaI4=,breed_3,Male,Tier1,182895,36234092,582,8866.25
/a818zU1T1SgzQNfwEPbXNUP3UaY6CxqGn5wK3/ihv8=,breed_2,Male,Tier1,9784,208713,17,423.69
W4GWhjaR19n44fYaVDmmWFW/PAdlMuUqe/stULqHvmE=,breed_3,Male,Other,186832,36785038,312,3063.18
iSwapK3U1KGWUHKcn32awEjGsMRUMqxOJoROG46YMgA=,breed_2,Male,Other,44608,1570851,34,126.86
j0dcCcG5rWqSRkhi4++gokowrLmDHun/7kEgHJvVD+c=,breed_2,Male,Tier1,77573,1944212,843,9583.07
axSFyl7f0kxwafmNbbd5fckofT2VvimMIq0bzOf8iJ0=,breed_1,Male,Tier1,9485,1645930,87,1586.81
m6peDy7wJEsU3QJ4OU4Z59sWWLIDUHRe45WTIGd9Vek=,breed_1,Male,Tier1,49948,3794603,347,14645.07
vYFLO8lG25tsyRcLqh4nHU4djMCkKssxSie+kkQJ3eM=,Mix,Male,Tier1,5380,208681,20,794.99
/wJ0hX/NaQWFNekImgIH2ouIRhFU0z4q9eRk1gkiopA=,breed_3,Male,Tier1,1197,74818,13,575.71
yDSp/MrpbajmOkGdiiuOzjpTtQMNFLPQeP4QtN/M1n4=,breed_1,Male,Tier1,96,1776,25,550.76
SZgxRM7ExbjgllQlPTTP24oRtvb+dp/58wkwKS5rL34=,breed_1,Male,Tier1,104,3508,32,4894.05
mHARMLmW1m/n5iFVAAMdC1hkfMhMSTLMqiHhgVFpIUs=,breed_3,Male,Tier1,282450,10094967,803,11191.76
SnCDzL5+crMzPPbdFK9QdOi7s3T5eHK1KDflA3V2XMo=,breed_1,Male,Tier1,1199,97084,15,583.28
ojYPaJYomw6ajnDpVl3FCvrenjKhWloEgihv7YORQ4M=,breed_1,Male,Tier1,37522,1020863,347,8472.12
3foNu68XrLomwtyI2dz08ZEcfkBVx7r7GOFgwYN3g/o=,breed_1,Male,Tier1,9526,1214471,134,2198.23
e5HOmlV+TcPoa38XRemgbXLiFAc1gAWDRhIkLkcoRZY=,breed_2,Male,Tier1,64,1564,15,271.96
cnxfvc/XAGVsCHYSlSdrVQO+0z90dPBtX9U7fZw+DYE=,breed_2,Male,Other,29210,663263,31,298.7
M5if5lSVGYMyws/gmjqc/PsEiS8vqIk3mYtoVR+b544=,breed_2,Male,Other,67425,2756535,43,475.54
rS831Gy5gh//INN9SiNibxwl5yL9AvoIEPptfnf+/b4=,breed_1,Male,Tier1,8184,176302,207,5258.84
4DhFLdzF1bDrTHA+P3KEpNXpGz4JlDTjJh9rdniHRTg=,breed_2,Male,Tier1,283,9179,31,875.05
7DnEDxHhoUinnIj35DzNJPsPd/fkFE7VgoGOF8lPbQY=,breed_1,Male,Tier1,2736,22358,53,688.45
tCPcZ4wXa7tOj4tj3TT6pFoYXbfr0QqJaaVdpqK/Tdo=,breed_2,Female,Tier1,18948,622062,71,2471.02
3oB/0E8xVBc7/ni/xLJMrB2i6I3lLGAU32FBvFT5sDw=,breed_1,Male,Other,37490,673622,41,348.61
8OT+desuNvarnrjfQxQ6TaV5jEOKsBUiTU2b67EEirg=,breed_1,Male,Other,712,21406,15,145.8
MC0uQfsqVTNSJp5ZTk+1Q7ZajunLh3Nz2ojO/YED2+I=,breed_1,Female,Tier1,9309,457656,414,3550.29
KMaq92xx1Vv/Ec9nVduX529Fvilf6+BSp7THQlOI3PQ=,Mix,Male,Tier1,1587,100673,16,231.81
B7/iAJqklvUctmeIjbraVVq2xdhdjjWl4squ4RgUA1Q=,breed_1,Male,Tier1,367,9459,12,134.52
JZXUtXjgkWdodHzwHuubSulEFvWb1qkPVwI60kChbU8=,breed_3,Male,Tier1,40224,704640,80,880.66
eAeusyKQD42x9E0lTGTJLkHCZjM9sED+bZH5Zr2bh5o=,breed_1,Male,Tier1,556,20116,70,2026.63
zh9X04mjKyFDOk6eUWBsJNSxQ7SawkDOwv0wr5g9Yxo=,breed_2,Male,Other,2588,247515,14,261.49
